city;prov;reg;index;lat;lon
Agrigento;AG;SIC;55512;37.3122991;13.57465
Alessandria;AL;PIE;91059;44.9130438;8.6154872
ANCONA;AN;MAR;98356;43.480120400000004;13.218790609151764
Andria;BT;PUG;97146;41.2275731;16.2954806
AOSTA;AO;VDA;33093;45.7370885;7.3196649
Arezzo;AR;TOS;96260;43.51720195;11.763879181253118
Ascoli Piceno;AP;MAR;45571;42.8834204;13.539593040686007
Asti;AT;PIE;73421;44.826012649999996;8.202686328987273
Avellino;AV;CAM;52198;40.9965446;15.1405690365004
BARI;BA;PUG;316015;41.1257843;16.8620293
Barletta;BT;PUG;92427;41.3214976;16.2868696
Belluno;BL;VEN;35529;46.2805407;12.078913722504204
Benevento;BN;CAM;56201;41.2476307;14.705705363146528
Bergamo;BG;LOM;119534;45.756655699999996;9.754219200862249
Biella;BI;PIE;42619;45.5669538;8.086912008297636
BOLOGNA;BO;EMR;387971;44.4938203;11.3426327
Bolzano;BZ;TAA;106107;46.655945450000004;11.23021287087526
Brescia;BS;LOM;196446;45.77958045;10.4258729694612
Brindisi;BR;PUG;82694;40.63591975;17.688443357842537
CAGLIARI;CA;SAR;148117;39.2171994;9.113311
Caltanissetta;CL;SIC;58532;37.4899412;14.0631618
CAMPOBASSO;CB;MOL;47075;41.717264799999995;14.826226697820019
Carbonia;SU;SAR;26250;39.165332;8.527834
Caserta;CE;CAM;72805;41.20351925;14.116862382970815
Catania;CT;SIC;298762;37.5023612;15.0873718
CATANZARO;CZ;CAL;84670;38.82996034999999;16.43155687627833
Chieti;CH;ABR;48455;42.10269285;14.41590530501923
Como;CO;LOM;83184;45.939475900000005;9.149410145408947
Cosenza;CS;CAL;63760;39.596685300000004;16.333055599019605
Cremona;CR;LOM;70637;45.22086405;10.037037979628856
Crotone;KR;CAL;58445;39.1873894;16.87828188895307
Cuneo;CN;PIE;55744;44.45807035;7.558136691151624
Enna;EN;SIC;25512;37.5667573;14.2807473
Fermo;FM;MAR;35789;43.0922489;13.638768067263769
Ferrara;FE;EMR;129340;44.766764249999994;11.827938995640167
FIRENZE;FI;TOS;360930;43.7698712;11.2555757
Foggia;FG;PUG;145348;41.50281055;15.452899609627728
Forlì;FC;EMR;116440;44.2227278;12.041273
Frosinone;FR;LAZ;43417;41.628546799999995;13.57584977062367
GENOVA;GE;LIG;558745;44.40726;8.9338624
Gorizia;GO;FVG;33506;45.9451611;13.625261
Grosseto;GR;TOS;81321;42.7751102;11.287804427628437
Imperia;IM;LIG;42060;43.95837525;7.866742714674276
Isernia;IS;MOL;20617;41.64950915;14.208061831039291
LAQUILA;AQ;ABR;69558;42.3489203;13.3979672
La Spezia;SP;LIG;92119;44.23836595;9.691232634547537
Latina;LT;LAZ;127564;41.45952605;13.012591212188894
Lecce;LE;PUG;94517;40.152217300000004;18.2260628338229
Lecco;LC;LOM;46871;45.9005485;9.41202482143963
Livorno;LI;TOS;152914;42.790216599999994;10.340278678735025
Lodi;LO;LOM;44709;45.2613104;9.491678060021837
Lucca;LU;TOS;88798;44.017763900000006;10.454430026192636
Macerata;MC;MAR;40496;43.15297805;13.150882217502017
Mantova;MN;LOM;48653;45.1692628;10.670836515673878
Massa;MS;TOS;66160;44.0359323;10.1395519
Matera;MT;BAS;59685;40.447641899999994;16.47357384028852
Messina;ME;SIC;218786;38.1937571;15.5542082
MILANO;MI;LOM;1354196;45.4641943;9.1896346
Modena;MO;EMR;184153;44.5384728;10.935960870530739
Monza;MB;LOM;121799;45.6395418;9.278830418070044
NAPOLI;NA;CAM;913462;40.8358846;14.2487679
Novara;NO;PIE;101257;45.584250049999994;8.545996970894572
Nuoro;NU;SAR;33850;40.263970549999996;9.12722009781746
Oristano;OR;SAR;30363;40.02656765;8.679641647435716
Padova;PD;VEN;206496;45.4077172;11.8734455
PALERMO;PA;SIC;630167;38.1112268;13.3524434
Parma;PR;EMR;196764;44.8013678;10.3280833
Pavia;PV;LOM;70636;45.036854649999995;9.137825082826026
PERUGIA;PG;UMB;161748;43.1070321;12.402996209906487
Pesaro;PU;MAR;95376;43.9098114;12.9131228
Pescara;PE;ABR;118657;42.3102619;13.95759010584892
Piacenza;PC;EMR;102465;44.8476352;9.666531257696896
Pisa;PI;TOS;88737;43.7159395;10.4018624
Pistoia;PT;TOS;89309;43.9740957;10.868708114044026
Pordenone;PN;FVG;51725;45.9562503;12.6597197
POTENZA;PZ;BAS;64406;40.5183188;15.82095999021995
Prato;PO;TOS;195736;43.935718050000006;11.09414726770089
Ragusa;RG;SIC;73159;36.9219828;14.7212455
Ravenna;RA;EMR;155751;44.364060699999996;12.059009490863945
Reggio Calabria;RC;CAL;170951;38.1035389;15.6397556
Reggio Emilia;RE;EMR;169545;44.6086674;10.594066675914796
Rieti;RI;LAZ;45276;42.41473635;12.885888076510067
Rimini;RN;EMR;149211;43.9470982;12.630768610516004
ROMA;RM;LAZ;2748109;41.8933203;12.4829321
Rovigo;RO;VEN;49985;44.97720615;12.274190436964231
Salerno;SA;CAM;127186;40.419441649999996;15.310756230322482
Sassari;SS;SAR;121021;40.7232643;8.5610074
Savona;SV;LIG;58194;44.2334238;8.252572737021062
Siena;SI;TOS;52812;43.1672254;11.467181161339118
Siracusa;SR;SIC;116244;37.0646139;15.2907196
Sondrio;SO;LOM;21066;46.32336235;10.258413671017703
Taranto;TA;PUG;188098;40.54881555;17.08058012454743
Teramo;TE;ABR;51548;42.65811795;13.69787458752063
Terni;TR;UMB;106370;42.6539486;12.439652829139407
TORINO;TO;PIE;841600;45.0677551;7.6824892
Trani;BT;PUG;54941;41.275088;16.4162585
Trapani;TP;SIC;55559;38.0174321;12.515992
TRENTO;TN;TAA;118046;46.0664228;11.1257601
Treviso;TV;VEN;84607;45.806691349999994;12.206315763116372
TRIESTE;TS;FVG;198417;45.6496485;13.7772781
Udine;UD;FVG;97808;46.0634632;13.2358377
Varese;VA;LOM;78409;45.839720299999996;8.754133838056571
VENEZIA;VE;VEN;250369;45.4371908;12.3345898
Verbania;VB;PIE;29945;45.9344082;8.5580062
Vercelli;VC;PIE;45206;45.55538265;8.346283678327271
Verona;VR;VEN;255588;45.4384958;10.9924122
Vibo Valentia;VV;CAL;31092;38.6266556;16.098693458946357
Vicenza;VI;VEN;109823;45.63485905;11.40635425660249
Viterbo;VT;LAZ;65949;42.492952200000005;11.948813551650236
